Date,Location,new_case,new_death,Admin_Dose_1,dose_distributed,popf12,Ne,poptotal
1/3/2021,PE,0,0,1674,5100,145431,138886.605,164318
1/10/2021,PE,6,0,2485,6075,145431,138886.605,164318
1/17/2021,PE,2,0,4308,8250,145431,138886.605,164318
1/24/2021,PE,6,0,5231,8250,145431,138886.605,164318
1/31/2021,PE,1,0,5286,8250,145431,138886.605,164318
2/7/2021,PE,2,0,5309,8250,145431,138886.605,164318
2/14/2021,PE,1,0,5697,8250,145431,138886.605,164318
2/21/2021,PE,1,0,6458,8250,145431,138886.605,164318
2/28/2021,PE,17,0,7371,9554,145431,138886.605,164318
3/7/2021,PE,9,0,8678,10373,145431,138886.605,164318
3/14/2021,PE,2,0,10397,13543,145431,138886.605,164318
3/21/2021,PE,5,0,13008,16324,145431,138886.605,164318
3/28/2021,PE,8,0,15302,21585,145431,138886.605,164318
4/4/2021,PE,4,0,19830,25481,145431,138886.605,164318
4/11/2021,PE,2,0,26330,36653,145431,138886.605,164318
4/18/2021,PE,8,0,33443,44784,145431,138886.605,164318
4/25/2021,PE,5,0,39609,48648,145431,138886.605,164318
5/2/2021,PE,7,0,45455,51446,145431,138886.605,164318
5/9/2021,PE,4,0,52667,66081,145431,138886.605,164318
5/16/2021,PE,5,0,62209,73973,145431,138886.605,164318
5/23/2021,PE,9,0,71427,81344,145431,138886.605,164318
5/30/2021,PE,2,0,79901,93289,145431,138886.605,164318
6/6/2021,PE,4,0,89837,104488,145431,138886.605,164318
6/13/2021,PE,0,0,99362,114429,145431,138886.605,164318
6/20/2021,PE,0,0,108970,122065,145431,138886.605,164318
6/27/2021,PE,0,0,114442,153783,145431,138886.605,164318
7/4/2021,PE,1,0,117274,171254,145431,138886.605,164318
7/11/2021,PE,1,0,119749,171960,145431,138886.605,164318
7/18/2021,PE,0,0,121913,172716,145431,138886.605,164318
7/25/2021,PE,0,0,123234,175177,145431,138886.605,164318
8/1/2021,PE,0,0,124530,179433,145431,138886.605,164318
8/8/2021,PE,4,0,125660,182016,145431,138886.605,164318
8/15/2021,PE,6,0,126543,182016,145431,138886.605,164318
8/22/2021,PE,6,0,127418,182016,145431,138886.605,164318
8/29/2021,PE,6,0,128223,182016,145431,138886.605,164318
9/5/2021,PE,3,0,128980,182016,145431,138886.605,164318
9/12/2021,PE,14,0,129623,182016,145431,138886.605,164318
9/19/2021,PE,37,0,130542,182016,145431,138886.605,164318
9/26/2021,PE,11,0,131534,182016,145431,138886.605,164318
10/3/2021,PE,7,0,132561,182016,145431,138886.605,164318
10/10/2021,PE,4,0,133929,182016,145431,138886.605,164318
10/17/2021,PE,6,0,134760,182016,145431,138886.605,164318
10/24/2021,PE,3,0,135535,182016,145431,138886.605,164318
10/31/2021,PE,2,0,136074,182016,145431,138886.605,164318
11/7/2021,PE,7,0,136407,182016,145431,138886.605,164318
11/14/2021,PE,3,0,136866,182016,145431,138886.605,164318
11/21/2021,PE,16,0,137201,182016,145431,138886.605,164318
1/3/2021,NL,0,0,1785,6300,467760,467760,520553
1/10/2021,NL,3,0,2847,8250,467760,467760,520553
1/17/2021,NL,3,0,4250,10322,467760,467760,520553
1/24/2021,NL,2,0,7448,14766,467760,467760,520553
1/31/2021,NL,10,0,8353,14766,467760,467760,520553
2/7/2021,NL,8,0,8890,14766,467760,467760,520553
2/14/2021,NL,281,0,9792,15501,467760,467760,520553
2/21/2021,NL,229,0,10436,19011,467760,467760,520553
2/28/2021,NL,61,2,16623,27708,467760,467760,520553
3/7/2021,NL,19,0,21087,32334,467760,467760,520553
3/14/2021,NL,6,0,27418,45184,467760,467760,520553
3/21/2021,NL,2,0,38915,57228,467760,467760,520553
3/28/2021,NL,2,0,51244,74719,467760,467760,520553
4/4/2021,NL,4,0,78734,92013,467760,467760,520553
4/11/2021,NL,10,0,100594,135037,467760,467760,520553
4/18/2021,NL,13,0,122808,159466,467760,467760,520553
4/25/2021,NL,15,0,147423,178206,467760,467760,520553
5/2/2021,NL,41,0,171285,191085,467760,467760,520553
5/9/2021,NL,39,0,193584,235265,467760,467760,520553
5/16/2021,NL,55,0,225770,269337,467760,467760,520553
5/23/2021,NL,60,0,260190,306209,467760,467760,520553
5/30/2021,NL,56,0,290038,347911,467760,467760,520553
6/6/2021,NL,43,0,318238,381584,467760,467760,520553
6/13/2021,NL,23,1,343290,413535,467760,467760,520553
6/20/2021,NL,8,0,363831,437780,467760,467760,520553
6/27/2021,NL,1,0,378807,521002,467760,467760,520553
7/4/2021,NL,3,0,384504,591106,467760,467760,520553
7/11/2021,NL,15,0,392429,591106,467760,467760,520553
7/18/2021,NL,31,0,397427,598980,467760,467760,520553
7/25/2021,NL,4,0,399946,599806,467760,467760,520553
8/1/2021,NL,0,0,403456,614420,467760,467760,520553
8/8/2021,NL,6,0,407370,614420,467760,467760,520553
8/15/2021,NL,4,0,411260,614420,467760,467760,520553
8/22/2021,NL,11,0,413918,614420,467760,467760,520553
8/29/2021,NL,11,1,416570,614420,467760,467760,520553
9/5/2021,NL,22,0,418923,614420,467760,467760,520553
9/12/2021,NL,41,0,421222,614420,467760,467760,520553
9/19/2021,NL,23,0,423500,614420,467760,467760,520553
9/26/2021,NL,137,0,426570,614420,467760,467760,520553
10/3/2021,NL,112,3,430575,614420,467760,467760,520553
10/10/2021,NL,44,1,435167,614420,467760,467760,520553
10/17/2021,NL,33,2,440564,614420,467760,467760,520553
10/24/2021,NL,47,2,447737,614420,467760,467760,520553
10/31/2021,NL,64,1,451476,614420,467760,467760,520553
11/7/2021,NL,11,0,453632,614420,467760,467760,520553
11/14/2021,NL,22,0,455271,614420,467760,467760,520553
11/21/2021,NL,10,1,457061,614420,467760,467760,520553
1/3/2021,NT,0,0,130,7200,38364,32762.856,45504
1/10/2021,NT,0,0,511,7200,38364,32762.856,45504
1/17/2021,NT,4,0,1891,7200,38364,32762.856,45504
1/24/2021,NT,3,0,9471,14400,38364,32762.856,45504
1/31/2021,NT,0,0,12247,14400,38364,32762.856,45504
2/7/2021,NT,1,0,12830,14400,38364,32762.856,45504
2/14/2021,NT,6,0,13575,18521,38364,32762.856,45504
2/21/2021,NT,4,0,14517,18521,38364,32762.856,45504
2/28/2021,NT,0,0,15214,18521,38364,32762.856,45504
3/7/2021,NT,0,0,17053,24151,38364,32762.856,45504
3/14/2021,NT,0,0,19685,24151,38364,32762.856,45504
3/21/2021,NT,0,0,22113,36213,38364,32762.856,45504
3/28/2021,NT,0,0,23721,38319,38364,32762.856,45504
4/4/2021,NT,0,0,24102,38319,38364,32762.856,45504
4/11/2021,NT,1,0,24745,38319,38364,32762.856,45504
4/18/2021,NT,0,0,25374,39831,38364,32762.856,45504
4/25/2021,NT,5,0,25856,39831,38364,32762.856,45504
5/2/2021,NT,4,0,26332,39831,38364,32762.856,45504
5/9/2021,NT,47,0,27308,39831,38364,32762.856,45504
5/16/2021,NT,22,0,28358,39831,38364,32762.856,45504
5/23/2021,NT,6,0,28895,39831,38364,32762.856,45504
5/30/2021,NT,0,0,29591,40168,38364,32762.856,45504
6/6/2021,NT,1,0,25667,56192,38364,32762.856,45504
6/13/2021,NT,0,0,26114,60872,38364,32762.856,45504
6/20/2021,NT,0,0,26581,60872,38364,32762.856,45504
6/27/2021,NT,0,0,26938,60872,38364,32762.856,45504
7/4/2021,NT,0,0,27206,60872,38364,32762.856,45504
7/11/2021,NT,0,0,27445,60872,38364,32762.856,45504
7/18/2021,NT,0,0,27704,60872,38364,32762.856,45504
7/25/2021,NT,0,0,27910,60872,38364,32762.856,45504
8/1/2021,NT,0,0,28087,60872,38364,32762.856,45504
8/8/2021,NT,2,0,28271,60872,38364,32762.856,45504
8/15/2021,NT,3,0,28492,60872,38364,32762.856,45504
8/22/2021,NT,196,0,28882,60872,38364,32762.856,45504
8/29/2021,NT,71,1,29268,60872,38364,32762.856,45504
9/5/2021,NT,99,0,29500,60872,38364,32762.856,45504
9/12/2021,NT,92,0,29758,60872,38364,32762.856,45504
9/19/2021,NT,158,0,29985,60872,38364,32762.856,45504
9/26/2021,NT,169,1,30183,60872,38364,32762.856,45504
10/3/2021,NT,225,4,30387,60872,38364,32762.856,45504
10/10/2021,NT,313,0,30613,60872,38364,32762.856,45504
10/17/2021,NT,182,3,30818,60872,38364,32762.856,45504
10/24/2021,NT,148,0,31121,60872,38364,32762.856,45504
10/31/2021,NT,77,2,31338,60872,38364,32762.856,45504
11/7/2021,NT,23,0,31540,62522,38364,32762.856,45504
11/14/2021,NT,115,1,31540,62522,38364,32762.856,45504
11/21/2021,NT,35,0,31780,62522,38364,32762.856,45504
1/3/2021,NS,4,0,2489.569813,9550,884353,772924.522,992055
1/10/2021,NS,27,0,2521.604718,13450,884353,772924.522,992055
1/17/2021,NS,29,0,5253.724531,21924,884353,772924.522,992055
1/24/2021,NS,14,0,7585.865664,26643,884353,772924.522,992055
1/31/2021,NS,9,0,11065.7717,26643,884353,772924.522,992055
2/7/2021,NS,5,0,11760.47152,28071,884353,772924.522,992055
2/14/2021,NS,8,0,13479.37303,28711,884353,772924.522,992055
2/21/2021,NS,16,0,13651.44623,39241,884353,772924.522,992055
2/28/2021,NS,32,0,18062.1951,53755,884353,772924.522,992055
3/7/2021,NS,18,0,22892.1436,59247,884353,772924.522,992055
3/14/2021,NS,11,0,29256.10643,83897,884353,772924.522,992055
3/21/2021,NS,18,1,37361.85285,102997,884353,772924.522,992055
3/28/2021,NS,23,0,59201.42097,134530,884353,772924.522,992055
4/4/2021,NS,28,0,76697.05589,161756,884353,772924.522,992055
4/11/2021,NS,29,0,106921.5317,235259,884353,772924.522,992055
4/18/2021,NS,39,1,159154.9031,285381,884353,772924.522,992055
4/25/2021,NS,246,0,218355.4088,313458,884353,772924.522,992055
5/2/2021,NS,655,0,259768.3043,338035,884353,772924.522,992055
5/9/2021,NS,1211,4,298509.4886,414001,884353,772924.522,992055
5/16/2021,NS,827,2,355597.5211,481851,884353,772924.522,992055
5/23/2021,NS,551,7,421897.8772,532995,884353,772924.522,992055
5/30/2021,NS,266,6,492301.447,609997,884353,772924.522,992055
6/6/2021,NS,116,3,540845.3125,680799,884353,772924.522,992055
6/13/2021,NS,85,1,590053.6735,744326,884353,772924.522,992055
6/20/2021,NS,53,1,629125.275,799917,884353,772924.522,992055
6/27/2021,NS,37,2,639150.3699,991624,884353,772924.522,992055
7/4/2021,NS,26,0,643494.3031,1087869,884353,772924.522,992055
7/11/2021,NS,17,0,651047.2186,1087869,884353,772924.522,992055
7/18/2021,NS,5,0,663531.679,1087869,884353,772924.522,992055
7/25/2021,NS,9,1,666940.193,1087869,884353,772924.522,992055
8/1/2021,NS,5,0,674082.1464,1087869,884353,772924.522,992055
8/8/2021,NS,13,0,681059.3488,1087869,884353,772924.522,992055
8/15/2021,NS,20,0,684312.2647,1087869,884353,772924.522,992055
8/22/2021,NS,37,0,686557.4539,1087869,884353,772924.522,992055
8/29/2021,NS,45,1,691400.2164,1087869,884353,772924.522,992055
9/5/2021,NS,51,0,694492.9577,1087869,884353,772924.522,992055
9/12/2021,NS,71,0,699358.6022,1087869,884353,772924.522,992055
9/19/2021,NS,197,0,706170.1384,1087869,884353,772924.522,992055
9/26/2021,NS,174,1,712417.8603,1087869,884353,772924.522,992055
10/3/2021,NS,233,2,718435.8462,1087869,884353,772924.522,992055
10/10/2021,NS,206,1,725260.1964,1087869,884353,772924.522,992055
10/17/2021,NS,167,0,731788.9102,1087869,884353,772924.522,992055
10/24/2021,NS,132,0,737376.713,1087869,884353,772924.522,992055
10/31/2021,NS,145,2,741079.9481,1087869,884353,772924.522,992055
11/7/2021,NS,198,1,743311.4081,1087869,884353,772924.522,992055
11/14/2021,NS,267,1,745107.1934,1087869,884353,772924.522,992055
11/21/2021,NS,199,3,751814.3873,1087869,884353,772924.522,992055
1/3/2021,AB,1604,96,13383,46150,3791830,3325434.91,4442879
1/10/2021,AB,6584,165,44298,59800,3791830,3325434.91,4442879
1/17/2021,AB,5193,140,81859,83451,3791830,3325434.91,4442879
1/24/2021,AB,3822,129,89557,118650,3791830,3325434.91,4442879
1/31/2021,AB,3029,73,90238,118650,3791830,3325434.91,4442879
2/7/2021,AB,2513,61,90668,118650,3791830,3325434.91,4442879
2/14/2021,AB,2052,72,94996,118650,3791830,3325434.91,4442879
2/21/2021,AB,2276,61,103236,155193,3791830,3325434.91,4442879
2/28/2021,AB,2462,45,139961,208777,3791830,3325434.91,4442879
3/7/2021,AB,2294,32,202240,235827,3791830,3325434.91,4442879
3/14/2021,AB,2649,29,288021,345807,3791830,3325434.91,4442879
3/21/2021,AB,3570,19,388455,437308,3791830,3325434.91,4442879
3/28/2021,AB,4482,15,504407,604390,3791830,3325434.91,4442879
4/4/2021,AB,6341,15,600594,752184,3791830,3325434.91,4442879
4/11/2021,AB,8789,20,728292,1096969,3791830,3325434.91,4442879
4/18/2021,AB,10069,25,932880,1285338,3791830,3325434.91,4442879
4/25/2021,AB,11037,31,1127370,1343309,3791830,3325434.91,4442879
5/2/2021,AB,13526,23,1305432,1424335,3791830,3325434.91,4442879
5/9/2021,AB,13403,27,1556400,1708493,3791830,3325434.91,4442879
5/16/2021,AB,9488,31,1850072,2045326,3791830,3325434.91,4442879
5/23/2021,AB,5092,35,1854382,2267811,3791830,3325434.91,4442879
5/30/2021,AB,2938,44,2357833,2624109,3791830,3325434.91,4442879
6/6/2021,AB,1881,21,2511236,2914175,3791830,3325434.91,4442879
6/13/2021,AB,1277,22,2589472,3085165,3791830,3325434.91,4442879
6/20/2021,AB,795,22,2638391,3129157,3791830,3325434.91,4442879
6/27/2021,AB,502,5,2663494,3933032,3791830,3325434.91,4442879
7/4/2021,AB,352,8,2717742,4279523,3791830,3325434.91,4442879
7/11/2021,AB,295,4,2747926,4279523,3791830,3325434.91,4442879
7/18/2021,AB,299,9,2779941,4279523,3791830,3325434.91,4442879
7/25/2021,AB,786,6,2803897,4279523,3791830,3325434.91,4442879
8/1/2021,AB,1354,6,2825516,4279523,3791830,3325434.91,4442879
8/8/2021,AB,2091,4,2842134,4279523,3791830,3325434.91,4442879
8/15/2021,AB,3321,5,2858602,4279523,3791830,3325434.91,4442879
8/22/2021,AB,4607,15,2876600,4279523,3791830,3325434.91,4442879
8/29/2021,AB,7038,23,2898859,4279523,3791830,3325434.91,4442879
9/5/2021,AB,8577,19,2925095,4279523,3791830,3325434.91,4442879
9/12/2021,AB,10219,72,2947934,4279523,3791830,3325434.91,4442879
9/19/2021,AB,11390,83,3031198,4279523,3791830,3325434.91,4442879
9/26/2021,AB,11340,100,3089325,4372101,3791830,3325434.91,4442879
10/3/2021,AB,10363,107,3136368,4405359,3791830,3325434.91,4442879
10/10/2021,AB,7234,78,3175136,4667417,3791830,3325434.91,4442879
10/17/2021,AB,5403,146,3203485,4667417,3791830,3325434.91,4442879
10/24/2021,AB,4369,75,3229562,4674435,3791830,3325434.91,4442879
10/31/2021,AB,3442,60,3244251,4674435,3791830,3325434.91,4442879
11/7/2021,AB,3133,44,3258867,4674435,3791830,3325434.91,4442879
11/14/2021,AB,2851,33,3272662,4674435,3791830,3325434.91,4442879
11/21/2021,AB,2393,23,3290358,4748887,3791830,3325434.91,4442879
1/3/2021,QC,4714,77,26751.31059,88075,7532471,6590912.125,8604495
1/10/2021,QC,17442,331,78716.23941,115375,7532471,6590912.125,8604495
1/17/2021,QC,14045,350,137780.8271,162175,7532471,6590912.125,8604495
1/24/2021,QC,10491,349,206815.3698,238100,7532471,6590912.125,8604495
1/31/2021,QC,8744,255,226350.7731,238100,7532471,6590912.125,8604495
2/7/2021,QC,7405,199,243366.5158,256625,7532471,6590912.125,8604495
2/14/2021,QC,6476,146,277617.2664,310425,7532471,6590912.125,8604495
2/21/2021,QC,5349,98,326993.5416,400515,7532471,6590912.125,8604495
2/28/2021,QC,5370,71,408044.2003,537819,7532471,6590912.125,8604495
3/7/2021,QC,4940,66,517949.0371,638439,7532471,6590912.125,8604495
3/14/2021,QC,4998,57,674839.9685,852059,7532471,6590912.125,8604495
3/21/2021,QC,5408,52,893489.0482,1050349,7532471,6590912.125,8604495
3/28/2021,QC,6217,41,1151896.974,1372573,7532471,6590912.125,8604495
4/4/2021,QC,8109,41,1440689.209,1652883,7532471,6590912.125,8604495
4/11/2021,QC,11675,52,1770547.376,2358067,7532471,6590912.125,8604495
4/18/2021,QC,10230,68,2197645.919,2818340,7532471,6590912.125,8604495
4/25/2021,QC,7721,71,2621011.282,3036703,7532471,6590912.125,8604495
5/2/2021,QC,7278,77,2938815.528,3246862,7532471,6590912.125,8604495
5/9/2021,QC,6243,41,3344413.787,3954824,7532471,6590912.125,8604495
5/16/2021,QC,5482,44,3849672.845,4403121,7532471,6590912.125,8604495
5/23/2021,QC,4132,46,4349589.202,4830322,7532471,6590912.125,8604495
5/30/2021,QC,2779,32,4798458.331,5430434,7532471,6590912.125,8604495
6/6/2021,QC,1790,29,5225902.784,5950839,7532471,6590912.125,8604495
6/13/2021,QC,1285,18,5490823.456,6372659,7532471,6590912.125,8604495
6/20/2021,QC,962,16,5615747.02,6572533,7532471,6590912.125,8604495
6/27/2021,QC,645,11,5666935.07,8009201,7532471,6590912.125,8604495
7/4/2021,QC,511,11,5715503.277,8883495,7532471,6590912.125,8604495
7/11/2021,QC,492,5,5761111.402,8883495,7532471,6590912.125,8604495
7/18/2021,QC,515,5,5810153.109,8883495,7532471,6590912.125,8604495
7/25/2021,QC,681,8,5858836.619,8883495,7532471,6590912.125,8604495
8/1/2021,QC,897,3,5897300.666,8883495,7532471,6590912.125,8604495
8/8/2021,QC,1568,2,5939843.803,8883495,7532471,6590912.125,8604495
8/15/2021,QC,2448,3,5995233.807,8883495,7532471,6590912.125,8604495
8/22/2021,QC,3127,7,6049554.892,8883495,7532471,6590912.125,8604495
8/29/2021,QC,3521,2,6104701.058,8883495,7532471,6590912.125,8604495
9/5/2021,QC,4401,13,6164828.893,8883495,7532471,6590912.125,8604495
9/12/2021,QC,4926,14,6214640.864,8883495,7532471,6590912.125,8604495
9/19/2021,QC,5111,23,6263405.654,8883495,7532471,6590912.125,8604495
9/26/2021,QC,4709,24,6290519.886,8883495,7532471,6590912.125,8604495
10/3/2021,QC,3854,29,6315190.067,8883495,7532471,6590912.125,8604495
10/10/2021,QC,3805,28,6340419.752,8883495,7532471,6590912.125,8604495
10/17/2021,QC,3954,29,6364094.732,8883495,7532471,6590912.125,8604495
10/24/2021,QC,2889,33,6385542.091,8883495,7532471,6590912.125,8604495
10/31/2021,QC,3275,21,6399886.011,8883495,7532471,6590912.125,8604495
11/7/2021,QC,3986,20,6412542.911,8883495,7532471,6590912.125,8604495
11/14/2021,QC,4341,22,6426978.506,8883495,7532471,6590912.125,8604495
11/21/2021,QC,4112,13,6441210.902,8883495,7532471,6590912.125,8604495
1/3/2021,NB,17,0,2886,8250,701879,656256.865,789225
1/10/2021,NB,161,0,6241,11175,701879,656256.865,789225
1/17/2021,NB,168,3,7918,17775,701879,656256.865,789225
1/24/2021,NB,177,1,11516,19110,701879,656256.865,789225
1/31/2021,NB,131,5,12791,19110,701879,656256.865,789225
2/7/2021,NB,89,2,13262,19110,701879,656256.865,789225
2/14/2021,NB,55,2,13661,19322,701879,656256.865,789225
2/21/2021,NB,24,3,15271,27512,701879,656256.865,789225
2/28/2021,NB,7,2,21700,35743,701879,656256.865,789225
3/7/2021,NB,24,1,26329,43988,701879,656256.865,789225
3/14/2021,NB,16,2,39189,63848,701879,656256.865,789225
3/21/2021,NB,20,0,49626,81295,701879,656256.865,789225
3/28/2021,NB,87,0,80204,110946,701879,656256.865,789225
4/4/2021,NB,75,0,110951,135485,701879,656256.865,789225
4/11/2021,NB,70,3,135849,199257,701879,656256.865,789225
4/18/2021,NB,66,0,182776,239416,701879,656256.865,789225
4/25/2021,NB,63,2,219409,258561,701879,656256.865,789225
5/2/2021,NB,88,2,244129,274267,701879,656256.865,789225
5/9/2021,NB,63,4,277851,346539,701879,656256.865,789225
5/16/2021,NB,61,0,323472,385654,701879,656256.865,789225
5/23/2021,NB,66,2,387011,436950,701879,656256.865,789225
5/30/2021,NB,71,0,432216,496891,701879,656256.865,789225
6/6/2021,NB,65,1,484535,550637,701879,656256.865,789225
6/13/2021,NB,33,1,510209,595541,701879,656256.865,789225
6/20/2021,NB,20,0,521297,616556,701879,656256.865,789225
6/27/2021,NB,7,0,531245,729513,701879,656256.865,789225
7/4/2021,NB,12,1,537891,816386,701879,656256.865,789225
7/11/2021,NB,1,0,545921,816386,701879,656256.865,789225
7/18/2021,NB,10,0,552572,816386,701879,656256.865,789225
7/25/2021,NB,4,0,559688,816386,701879,656256.865,789225
