,Location,C1,C2,C3,C4,C5,C6,C7,H6,H8,V4,set_date,announcement
0,CAN_NT,NaT,NaT,NaT,NaT,NaT,NaT,4/21/2021 0:00,NaT,NaT,12/1/2021 0:00,4/21/2021,4/1/2021
0,CAN_BC,NaT,9/13/2021 0:00,9/13/2021 0:00,9/28/2021 0:00,NaT,NaT,11/30/2021 0:00,NaT,NaT,10/26/2021 0:00,7/28/2021,7/8/2021
0,CAN_YT,NaT,11/13/2021 0:00,11/13/2021 0:00,7/14/2021 0:00,NaT,NaT,5/25/2021 0:00,NaT,NaT,11/30/2021 0:00,5/25/2021,5/5/2021
0,CAN_MB,NaT,7/17/2021 0:00,NaT,7/17/2021 0:00,NaT,NaT,7/17/2021 0:00,NaT,NaT,9/7/2021 0:00,7/17/2021,6/27/2021
0,CAN_SK,NaT,10/1/2021 0:00,10/1/2021 0:00,NaT,NaT,NaT,11/30/2021 0:00,NaT,NaT,10/1/2021 0:00,9/7/2021,8/20/2021
0,CAN_QC,NaT,9/1/2021 0:00,9/1/2021 0:00,NaT,NaT,NaT,11/30/2021 0:00,NaT,NaT,NaT,9/1/2021,8/12/2021
0,CAN_NB,NaT,9/22/2021 0:00,9/22/2021 0:00,NaT,NaT,NaT,6/17/2021 0:00,NaT,NaT,9/22/2021 0:00,6/17/2021,5/28/2021
0,CAN_PE,NaT,10/5/2021 0:00,10/5/2021 0:00,NaT,NaT,NaT,12/22/2021 0:00,NaT,NaT,10/29/2021 0:00,9/7/2021,8/20/2021
0,CAN_NL,NaT,10/22/2021 0:00,10/22/2021 0:00,NaT,NaT,NaT,7/1/2021 0:00,NaT,NaT,12/17/2021 0:00,7/1/2021,6/11/2021
0,CAN_ON,NaT,9/22/2021 0:00,9/22/2021 0:00,NaT,NaT,NaT,11/30/2021 0:00,NaT,NaT,8/17/2021 0:00,8/17/2021,7/28/2021
0,CAN_NS,NaT,10/4/2021 0:00,10/4/2021 0:00,NaT,NaT,NaT,NaT,NaT,NaT,11/30/2021 0:00,9/7/2021,8/20/2021
0,CAN_NU,NaT,NaT,NaT,NaT,NaT,NaT,6/14/2021 0:00,NaT,NaT,NaT,6/14/2021,5/25/2021
0,CAN_AB,9/20/2021 0:00,9/20/2021 0:00,9/20/2021 0:00,9/16/2021 0:00,NaT,NaT,11/30/2021 0:00,NaT,NaT,12/1/2021 0:00,9/7/2021,8/20/2021
